Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt-RF,RF
201604,0.3,1.46,2.27,9.11,-4.02,0.6,-0.6,3.56,-0.78,2.3,0.92,0.01
201605,0.72,-1.11,-0.69,-0.92,5.08,0.3,0.99,2.47,2.24,0.91,1.78,0.01
201606,4.68,-5.69,0.85,2.65,-1.9,3.12,0.84,0.14,7.37,-2.71,-0.05,0.02
201607,-0.05,8.64,4.05,-2.79,7.81,2.29,3.49,6.01,-0.22,3.56,3.95,0.02
201608,-0.61,0.29,1.53,1.4,1.88,-3.55,-1.44,-3.21,-3.92,3.36,0.5,0.02
201609,-2.51,-1.64,-0.21,2.93,2.39,0.54,-0.68,0.35,1.75,-1.25,0.25,0.02
201610,-0.15,-3.58,-2.61,-2.92,-1.13,-2.83,-3.97,-7.44,-0.61,0.59,-2.02,0.02
201611,-3.76,7.6,6.1,9.55,0.57,6.26,4.45,1.38,-2.84,11.27,4.86,0.01
201612,3.53,3.83,0.5,2.18,0.86,4.68,-0.42,0.85,3.64,2.94,1.82,0.03
201701,1.63,2.77,3.43,-4.32,4.7,3.4,1,2.21,1.09,1.02,1.94,0.04
201702,3.73,0.68,4.13,-2.37,4.97,-0.07,2.81,7.1,4.02,3.72,3.57,0.04
201703,0.89,0.05,0.16,-1.2,2.18,0.83,0.8,-0.15,0.32,-1.67,0.17,0.03
201704,0.51,1.72,1.86,-2.84,2.79,-0.12,2.7,1.09,0.36,0.26,1.09,0.05
201705,3.08,-0.52,1.33,-3.45,4.27,-1.92,1.61,-0.43,2.58,-0.42,1.06,0.06
201706,-0.98,3.51,1.28,-0.21,-2.11,-2.27,-1.9,5.56,-1.89,4.18,0.78,0.06
201707,-0.12,-1.12,2.16,2.11,3.78,5.3,0.06,0.53,2.96,1.44,1.87,0.07
201708,-1.71,-0.16,0.17,-5.17,3.04,-2.56,-1.66,1.79,2.15,-0.4,0.16,0.09
201709,-0.33,5.29,4.21,11.14,0.58,-1.68,2.5,1.5,-1.93,4.31,2.51,0.09
201710,0.1,1.2,2.85,0.29,6.86,-5.74,2.69,-2.24,3.05,2.03,2.25,0.09
201711,4.1,-0.6,3.5,2.96,1.04,3.72,8,2.36,2.38,3.73,3.12,0.08
201712,2.01,-0.83,2.28,5.07,-0.22,4.59,2.44,-0.23,-4.96,1.43,1.06,0.09
201801,1.91,2.54,4.21,2.82,7.58,3.18,9.4,6.38,-2.77,5.93,5.58,0.11
201802,-6.21,-6.02,-3.96,-10.88,-0.04,-7.32,-4.73,-3.9,-4.55,-3.32,-3.65,0.11
201803,-1.07,-5.59,-2.14,2.99,-3.29,-2.52,-2.54,-2,3.14,-2.67,-2.35,0.12
201804,-3.96,-0.13,-3.36,10.14,-0.14,-2.42,3.9,-0.28,2.79,0.44,0.29,0.14
201805,-0.51,2.95,2.57,3.49,6.92,-0.93,0.85,2.43,0.25,1.21,2.65,0.14
201806,4.53,0.79,-0.95,0.56,-0.34,6.23,3.03,1.52,2.59,-1,0.48,0.14
201807,2.8,-1.42,5.16,1.05,2.27,2.7,3.15,6.08,1.73,4.03,3.19,0.16
201808,-1.07,-0.52,-0.23,-2.85,7.32,2.94,8.04,4.47,0.86,2.44,3.44,0.16
201809,0.71,-3.67,1.38,3.46,-0.26,1.75,0.58,1.99,-0.55,-1.19,0.06,0.15
201810,-0.24,-3.21,-10.01,-12.06,-8.78,-0.53,-8.71,-8.84,-0.08,-6.62,-7.68,0.19
201811,0.46,5.25,4.65,-2.39,-1.63,2.53,2.45,6.3,3.24,3.06,1.69,0.18
201812,-11.23,-11.4,-8.7,-13.15,-8.13,-8.86,-9.05,-8.41,-4.81,-10.63,-9.55,0.19
201901,7.3,10.47,9.74,10.46,9.58,5.69,8.2,5.01,5.45,9.2,8.41,0.21
201902,1.42,3.91,5.27,2.46,5.56,3.32,0.85,3.05,3.6,2.76,3.4,0.18
201903,3.68,-5.22,-0.77,2,3.72,0.3,3.39,0.62,3.33,-1.24,1.1,0.19
201904,3.19,3.55,4.03,0.17,6.03,6.34,4.6,-3.05,0.99,6.62,3.96,0.21
201905,-5.54,-12.02,-9.16,-11.86,-8.52,-3.05,-6.1,-3.46,-1.53,-6.21,-6.94,0.21
201906,4.93,12.82,8.19,8.84,7.87,5.03,7.18,7.26,3.62,6.75,6.93,0.18
201907,1.73,1.16,0.8,-2.67,3.64,1.86,0.89,-1.84,-0.92,1.61,1.19,0.19
201908,-1.33,-4.22,-1.74,-8.84,-2.79,0.43,0.07,-0.37,3.51,-4.39,-2.58,0.16
201909,1.85,3.25,3.99,3.69,0.93,1.3,0.76,-0.7,3.92,2.03,1.43,0.18
201910,-0.02,7.14,0.05,-2.05,3.28,2.23,0.69,4.43,-1.4,3,2.06,0.15
201911,2.19,2.8,3.36,1.23,5.08,1.76,2.18,5.37,-2.1,4.94,3.87,0.12
201912,3.53,5.15,1.47,6.3,3.67,1.23,1.41,3.37,3.99,2.37,2.77,0.14
202001,-0.38,5.92,-3.09,-11.97,3.27,-2.09,0.87,-1.78,4.92,-1.29,-0.11,0.13
202002,-8.73,-7.34,-8.55,-15.33,-6.85,-5.95,-6.76,-5.64,-9.88,-9.8,-8.13,0.12
202003,-11.49,-22.7,-16.86,-34.61,-9.82,-13.39,-7.58,-5.33,-13.02,-18.9,-13.38,0.12
202004,8.01,25.75,11.04,32.33,15.18,9.64,18.02,13.09,4.98,10.42,13.65,0
202005,3.3,7.3,5.96,0.55,8.33,4.86,4.38,3.97,4.57,4.05,5.58,0.01
202006,-0.03,14.2,2.56,-0.37,6,-2.44,4.21,-1.76,-5.04,0,2.46,0.01
202007,5.85,18.73,4.48,-4.77,6.9,5.09,9.53,4.44,6.37,3.62,5.77,0.01
202008,4.43,40.86,6.27,-1.14,10.6,5.45,8.13,2.77,-2.25,7.2,7.63,0.01
202009,-2.06,-9.02,-0.01,-14.94,-5.18,-2.2,-3.83,-1.51,-0.27,-2.92,-3.63,0.01
202010,-2.61,-3.17,-0.77,-4.53,-1.88,-3.9,-2.53,-4.29,4.49,-2.03,-2.1,0.01
202011,10.02,33.99,13.87,28.6,11.02,14.44,8.39,9.63,2.63,15.69,12.47,0.01
202012,4.9,15.43,2.53,6.2,5,5.29,1.49,4.7,0.63,5.2,4.63,0.01
202101,-4.12,11.75,-2.38,4.73,0.49,-3.37,0.07,2.85,-0.4,-2.82,-0.03,0
202102,1.43,-8.07,5.43,23.29,1.79,4.45,-1.54,-1.1,-4.6,9.53,2.78,0
202103,7.26,0.61,7.59,2.26,0.75,1.63,5.56,0.22,10.35,5.58,3.09,0
